Element,Met,Uptake_rxn
C,Acetate,AcetateTRANS
C,cis_Aconitate,AconitateTRANS
C,Betaine,BetaineTRANS
C,Chitin,ChitinTRANS
C,Citrate,CitrateTRANS
C,D_Glucose,D_GlucoseTRANS
C,D_Ribose,RiboseTRANS
C,Formate,FormateTRANS
C,Fumarate,FumarateTRANS
C,Glycerol,GlycerolTRANS
C,Glycogen,GlycogenTRANS
C,Glycolate,GlycolateTRANS
C,Isocitrate,IsocitrateTRANS
C,Lactose,LactoseTRANS
C,S_Malate,MalateTRANS
C,Maltose,MaltoseTRANS
C,Oxalate,OxalateTRANS
C,Pyruvate,PyruvateTRANS
C,Succinate,SuccinateTRANS
N,Ammonia,AmmoniaTRANS
N,Betaine,BetaineTRANS
N,Cyanate,CyanateTRANS
N,L_Alanine,AlanineTRANS
N,L_Arginine,ArginineTRANS
N,L_Asparagine,AsparagineTRANS
N,L_Aspartate,AspartateTRANS
N,L_Cysteine,CysteineTRANS
N,L_Glutamate,GlutamateTRANS
N,L_Glutamine,GlutamineTRANS
N,Glycine,GlycineTRANS
N,L_Histidine,HistidineTRANS
N,L_Isoleucine,IsoleucineTRANS
N,L_Leucine,LeucineTRANS
N,L_Lysine,LysineTRANS
N,L_Methionine,MethionineTRANS
N,L_Ornithine,OrnithineTRANS
N,L_Phenylalanine,PhenylalanineTRANS
N,L_Proline,ProlineTRANS
N,L_Serine,SerineTRANS
N,L_Threonine,ThreonineTRANS
N,L_Tryptophan,TryptophanTRANS
N,L_Tyrosine,TyrosineTRANS
N,L_Valine,ValineTRANS
N,Ornithine,OrnithineTRANS
N,Nitrate,NitrateTRANS
N,Nitrite,NitriteTRANS
N,Putrescine,PutrescineTRANS
N,Spermidine,SpermidineTRANS
N,Taurine,TaurineTRANS
N,Urea,UreaTRANS
P,2_Aminoethylphosphonate,AEPTRANS
P,Methylphosphonate,MPnTRANS
P,Orthophosphate,OrthophosphateTRANS
P,sn_Glycerol_3_phosphate,PhospholipidTRANS
P,Phosphonoacetate,PhosphonoacetateTRANS
P,Phosphite,PnTRANS
S,Biotin,BiotinTRANS
S,L_Cysteine,CysteineTRANS
S,DMSP,DMSPTRANS
S,Dimethyl_sulfide,DMSTRANS
S,Glutathione,GlutathioneTRANS
S,Hydrogen_sulfide,H2STRANS
S,L_Methionine,MethionineTRANS
S,Sulfate,SulfateTRANS
S,Taurine,TaurineTRANS
S,Thiosulfate,ThiosulfateTRANS